家族,labelId,标签名,处置,jobId,品牌,岗位名
学生身份族,582,是否为学生,需改：合并为「身份类型」单选(学生/社会人士/暑假工)+保留703学信网；筛选配拒绝选项,528749,达美乐,达美乐-印象汇-兼职通岗服务员-小时工
学生身份族,582,是否为学生,需改：合并为「身份类型」单选(学生/社会人士/暑假工)+保留703学信网；筛选配拒绝选项,528750,达美乐,达美乐-华远东-兼职通岗服务员-小时工
学生身份族,582,是否为学生,需改：合并为「身份类型」单选(学生/社会人士/暑假工)+保留703学信网；筛选配拒绝选项,528751,达美乐,达美乐-岭南大道北店-兼职通岗服务员-小时工
学生身份族,582,是否为学生,需改：合并为「身份类型」单选(学生/社会人士/暑假工)+保留703学信网；筛选配拒绝选项,528752,达美乐,达美乐-季华东路-兼职通岗服务员-小时工
学生身份族,582,是否为学生,需改：合并为「身份类型」单选(学生/社会人士/暑假工)+保留703学信网；筛选配拒绝选项,528753,达美乐,达美乐-禅西环宇城-兼职通岗服务员-小时工
学生身份族,582,是否为学生,需改：合并为「身份类型」单选(学生/社会人士/暑假工)+保留703学信网；筛选配拒绝选项,528754,达美乐,达美乐-魁奇二路店-兼职通岗服务员-小时工
学生身份族,582,是否为学生,需改：合并为「身份类型」单选(学生/社会人士/暑假工)+保留703学信网；筛选配拒绝选项,528755,达美乐,达美乐-北滘诚德路-兼职通岗服务员-小时工
学生身份族,582,是否为学生,需改：合并为「身份类型」单选(学生/社会人士/暑假工)+保留703学信网；筛选配拒绝选项,528756,达美乐,达美乐-三水西南张边路店-兼职通岗服务员-小时工
学生身份族,582,是否为学生,需改：合并为「身份类型」单选(学生/社会人士/暑假工)+保留703学信网；筛选配拒绝选项,528757,达美乐,达美乐-容桂桂洲大道中-兼职通岗服务员-小时工
学生身份族,582,是否为学生,需改：合并为「身份类型」单选(学生/社会人士/暑假工)+保留703学信网；筛选配拒绝选项,528758,达美乐,达美乐-乐从大道东-兼职通岗服务员-小时工
